CustomerID,Age,AnnualIncome_k$,SpendingScore
1,56,119.72,58.51
2,69,30.92,90.98
3,46,25.2,67.23
4,32,15.0,62.02
5,60,30.34,20.43
6,25,41.73,18.69
7,38,91.65,56.5
8,56,19.72,78.76
9,36,90.67,84.72
10,40,42.29,18.83
11,28,27.46,13.8
12,28,97.38,68.23
13,41,109.05,65.27
14,53,31.23,14.83
15,57,18.1,15.6
16,41,28.3,10.15
17,20,56.98,92.57
18,39,15.53,78.88
19,19,41.21,2.48
20,41,48.88,5.21
21,61,53.45,21.77
22,47,31.31,9.47
23,55,29.2,67.94
24,19,58.4,71.32
25,38,33.48,73.22
26,50,50.79,89.14
27,29,45.94,87.08
28,39,34.07,18.53
29,61,59.85,66.64
30,42,77.41,37.57
31,66,22.41,10.71
32,44,55.09,1.0
33,59,15.0,90.21
34,45,15.49,73.11
35,33,61.41,97.25
36,32,95.64,47.1
37,64,30.27,70.63
38,68,102.28,78.54
39,61,28.27,71.21
40,69,58.65,66.39
41,20,25.13,11.8
42,54,49.44,79.4
43,68,27.0,17.61
44,24,49.28,3.81
45,38,15.58,97.75
46,26,102.81,42.98
47,56,82.14,43.46
48,35,35.96,11.43
49,21,75.49,42.03
50,42,67.08,86.67
51,31,51.48,68.14
52,67,52.15,84.76
53,26,39.42,71.6
54,43,105.06,42.37
55,19,42.59,77.49
56,37,51.56,100.0
57,45,53.54,1.0
58,64,33.21,5.14
59,24,50.53,80.92
60,61,78.03,60.64
61,25,36.69,70.5
62,64,81.74,71.06
63,52,43.03,16.48
64,31,25.12,66.15
65,34,35.75,78.26
66,53,37.06,9.86
67,67,79.79,58.5
68,57,66.13,73.1
69,21,36.98,74.89
70,19,65.27,85.29
71,23,61.03,80.42
72,59,28.02,76.52
73,21,48.43,71.43
74,46,29.72,20.45
75,35,113.41,36.62
76,43,39.75,17.98
77,61,79.67,58.61
78,51,52.91,88.54
79,27,39.75,42.34
80,53,52.81,82.16
81,31,57.58,74.53
82,48,97.2,38.44
83,65,15.0,6.77
84,32,29.21,75.06
85,25,26.5,82.47
86,31,31.87,74.33
87,40,25.41,76.87
88,57,58.6,81.17
89,38,95.07,39.64
90,33,22.75,87.61
91,62,35.75,9.48
92,35,43.24,80.11
93,64,73.13,53.78
94,41,93.8,39.34
95,43,94.45,69.94
96,42,16.77,74.21
97,62,49.13,81.08
98,58,97.69,57.02
99,46,39.15,19.89
100,32,53.7,70.98
101,62,40.92,76.61
102,18,19.97,82.75
103,42,54.21,76.77
104,24,33.59,10.64
105,26,60.74,86.07
106,41,91.23,61.31
107,18,31.54,92.04
108,61,32.68,19.77
109,25,45.28,14.31
110,41,15.0,70.27
111,28,97.82,62.1
112,68,39.67,20.55
113,34,61.23,68.36
114,25,33.58,72.29
115,52,52.3,88.28
116,52,15.0,71.02
117,50,42.66,86.19
118,22,40.07,78.87
119,59,53.0,93.04
120,56,56.53,81.15
121,58,51.04,68.56
122,45,50.41,17.19
123,24,80.77,46.37
124,26,26.25,69.48
125,25,29.42,95.55
126,29,88.19,62.97
127,51,61.1,92.33
128,50,105.37,38.61
129,65,82.22,54.77
130,40,68.26,91.94
131,41,43.49,18.99
132,54,35.18,15.09
133,52,72.71,81.81
134,61,25.64,81.48
135,57,15.32,70.27
136,39,107.41,57.79
137,44,35.91,6.38
138,52,53.64,18.86
139,18,58.71,92.27
140,52,46.16,9.08
141,54,68.11,52.67
142,64,47.35,86.54
143,31,15.0,95.09
144,20,72.35,55.13
145,18,93.22,56.96
146,22,44.13,85.51
147,43,85.0,55.69
148,31,35.58,74.76
149,56,36.33,19.07
150,44,31.61,15.19
151,26,46.4,73.32
152,32,25.12,73.44
153,32,105.49,75.11
154,43,23.98,89.03
155,59,28.77,12.51
156,30,39.17,84.47
157,68,15.0,63.99
158,49,97.79,52.11
159,56,100.73,52.13
160,66,110.08,43.4
161,69,66.02,95.66
162,49,90.93,44.18
163,21,99.16,59.52
164,47,24.05,80.49
165,54,55.47,86.91
166,40,40.23,22.52
167,56,98.27,44.64
168,62,83.59,49.22
169,32,37.76,9.7
170,60,98.05,62.63
171,46,40.59,70.35
172,53,57.77,81.74
173,30,29.27,19.19
174,49,38.41,9.18
175,24,109.86,61.75
176,68,47.65,3.76
177,39,95.1,81.72
178,45,51.57,81.24
179,19,56.06,87.33
180,59,24.61,20.93
181,62,52.97,79.71
182,23,28.61,13.4
183,45,26.51,68.5
184,45,32.79,82.81
185,61,35.19,84.7
186,61,72.83,79.25
187,37,101.39,56.44
188,47,96.64,57.47
189,28,82.73,35.3
190,45,57.35,97.48
191,42,61.41,78.14
192,56,29.14,15.82
193,50,15.0,81.41
194,18,16.29,77.93
195,44,60.19,67.04
196,69,29.06,91.45
197,30,120.0,55.02
198,58,73.87,90.51
199,20,31.34,22.18
200,56,80.98,62.16
